,Care Home Name,street,suburb,city,PostCode,Specialisms,Local authority area,phone Number,email,Website URL
257,Lavender Court Care Home,556 - 558 Wolverhampton Road East,Parkfields,CH Town,WV4 6AA,Nursing,Wolverhampton,01902 621721,karelinkwolverhampton@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/24
258,Leylands The,227 Penn Road,Penn,CH Town,WV4 5TX,Not Specified,Wolverhampton,01902 340256,leylands@angelcarehomes.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/25
259,Meadowcroft Residential Care Home,197-199 Bushbury Lane,Bushbury,CH Town,WV10 9TY,Not Specified,Wolverhampton,01902 307170,Not Specified,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/26
260,Mountfield House Care Home,286 Penn Road,Penn,CH Town,WV4 4AD,Not Specified,Wolverhampton,01902 330017,mountfieldhouse@googlemail.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/27
261,Newbridge House,261 Tettenhall Road,Not Specified,CH Town,WV6 0DE,Not Specified,Wolverhampton,01902 751092,nicola@newbridgecarehome.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/28
262,Newlyn Court,Merstone Close,Bilston,CH Town,WV14 0LR,Nursing,Wolverhampton,01902 408111,anarwal.newlyncourt@gmail.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/29
263,Oaks Court,Oaks Crescent,Not Specified,CH Town,WV3 9SA,Not Specified,Wolverhampton,01902 715266,oakscourt@qualityhomesuk.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/30
264,Orchard House Nursing Home (Wton),16-18 Riley Crescent,Penn,CH Town,WV3 7DS,Dementia,Wolverhampton,01902 653500,anita@firstcareservices.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/31
265,Parkdale Care Home,91 Tettenhall Road,Chapel Ash,CH Town,WV3 9PG,Not Specified,Wolverhampton,01902 710581,sarj@parkdalecarehome.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/32
266,Penn House Residential Care Home,169-171 Penn Road,Not Specified,CH Town,WV3 0EQ,Not Specified,Wolverhampton,01902 345470,penn169@hotmail.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/33
267,Royal Park,Major Street,Not Specified,CH Town,WV2 2BL,Nursing,Wolverhampton,01902 870349,RoyalPark@select-group.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/34
268,Waterside House,41 Moathouse Lane West,Not Specified,CH Town,WV11 3HA,Dementia,Wolverhampton,01902 727766,manager.waterside@minstercaregroup.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/35
269,Wellesley House Nursing Home,186 Penn Road,Penn,CH Town,WV3 0EN,Nursing,Wolverhampton,01902 342195,info@wellesley-house.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/36
270,Wentworth Lodge,Wentworth Road,Bushbury,CH Town,WV10 8EH,Not Specified,Wolverhampton,01902 570208,wentworthlodge@blueyonder.co.uk,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/37
271,Woodfields Residential Care Home,Old Hill,Tettenhall,CH Town,WV6 8QB,Not Specified,Wolverhampton,01902 753221,woodfieldsrh@outlook.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/38
272,Woodlands Quaker Home,434 Penn Road,Penn,CH Town,WV4 4DH,Not Specified,Wolverhampton,01902 341203,andreamason@woodlandsquakerhome.org,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/39
273,Wulfrun Rose Nursing Home,Underhill,Underhill Lane,CH Town,WV10 8LP,Nursing,Wolverhampton,01902 653284,WR.manager@macccare.com,https://www.wmca.care/hmfc/directory/carehomes/wolverhampton/dp/40
274,Albion Lodge Retirement Home,Hanley Swan,Robert End,CH Town,B9 5EA,Not Specified,Ch Local Authority,01684 310626,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/1
275,Astley Hall Nursing Home,Church Lane,Astley,CH Town,B9 5EA,Nursing,Ch Local Authority,01299 827020,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/2
276,Austen Court Care Home,Davies Road,Not Specified,CH Town,B9 5EA,Nursing,Ch Local Authority,01386 306570,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/3
277,Beechwood,The Beeches,Holly Green,CH Town,B9 5EA,Not Specified,Ch Local Authority,01684 595959,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/4
278,Blenheim House (Moundsley),Moundsley Hall Care Village,Walkers Heath Road,CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 4333000,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/5
279,Briarlea Care Home,Badsey Road,Not Specified,CH Town,B9 5EA,Not Specified,Ch Local Authority,01386 830214,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/6
280,Bryden House Nursing Home,Marlpool Lane,Franche,CH Town,B9 5EA,Nursing,Ch Local Authority,01562 755888,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/7
281,Buckingham House (moundsley),Moundsley Hall Care Village,Walkers Heath Road,CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 4333000,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/8
282,Casa Mia Care Centre,Casa Mia Cleobury Road,Far Forest,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01299 266317,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/9
283,Cedar Lodge (Offenham),Main Street,Offenham,CH Town,B9 5EA,Mental Health,Ch Local Authority,01386 446871,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/10
284,Chace Rest Home,Chase Road,Upper Welland,CH Town,B9 5EA,Not Specified,Ch Local Authority,01684 561813,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/11
285,Coach House Nursing Home,Broome House,"Broome, Clent",CH Town,B9 5EA,Nursing,Ch Local Authority,01562 700417,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/12
286,Court House Care Home,3-5 Court Road,Barnards Green,CH Town,B9 5EA,Nursing,Ch Local Authority,01684 572271,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/13
287,Fairmont Residential Limited (Kidderminster),144 Chester Road South,Withymoor Village,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01562 634324,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/14
288,Field House Rest Home,Thicknall Lane (Off Western Road),"Hagley, Clent",CH Town,B9 5EA,Not Specified,Ch Local Authority,01562 885211,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/15
289,Firs The (Kidderminster),105 Habberley Road,105 Habberley Road,CH Town,B9 5EA,Not Specified,Ch Local Authority,01562 741358,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/16
290,Foresters Nursing Home,Walton Pool,Clent,CH Town,B9 5EA,Nursing,Ch Local Authority,01562 883068,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/17
291,Glenfield House Nursing Home Ltd,Middle Lane,Kings Norton,CH Town,B9 5EA,Nursing,Ch Local Authority,01564 823795,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/18
292,Grange Hill House,516 Bromsgrove Road,Hunnington,CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 5501312,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/19
293,Hawthorns (Evesham),Church Street,Not Specified,CH Town,B9 5EA,Nursing,Ch Local Authority,01386 444330,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/20
294,Hernes Nest House (Community World),Herne's Nest,Off Park Lane,CH Town,B9 5EA,Not Specified,Ch Local Authority,01299 402136,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/21
295,Herons Park Nursing Home,Heronswood Road,Spennells Wood,CH Town,B9 5EA,Nursing,Ch Local Authority,01562 825814,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/22
296,Hopwood Court Retirement Home,Birmingham Road,"Hopwood, Alvechurch",CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 4454743,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/23
297,Juniper House,2 Oak View Way,St Johns,CH Town,B9 5EA,Dementia,Ch Local Authority,01905 676950,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/24
298,Kenilworth House (moundsley),Moundsley Hall Care Village,Walkers Heath Road,CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 4333000,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/25
299,Kensington House (moundsley),Moundsley Hall Care Village,Walkers Heath Road,CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 4333000,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/26
300,Lawns Nursing Home The,"33, Main Road",Kempsey,CH Town,B9 5EA,Nursing,Ch Local Authority,01905 821388,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/27
301,Mariantonia House,17 Comberton Road,Not Specified,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01562 694450,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/28
302,Mill House (Flyford Flavell),Kington,Flyford Flavell,CH Town,B9 5EA,Not Specified,Ch Local Authority,01386 793110,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/29
303,Milldale Close,3 Milldale Close,Not Specified,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01562 63424,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/30
304,Newland Hurst Ltd,Newland Lane,"Newland, Droitwich Spa",CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01905 773156,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/31
305,Oaks The (Malvern),165 Worcester Road,Not Specified,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01684 572079,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/32
306,Offmore Farm,Offmore Farm Close,Offmore Farm Close,CH Town,B9 5EA,Not Specified,Ch Local Authority,01562 515189,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/33
307,Parklands Care Home,Callow Hill Lane,Callow Hill,CH Town,B9 5EA,Not Specified,Ch Local Authority,01527 544581,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/34
308,Priory Care Home The,Crutch Lane,Dodderhill,CH Town,B9 5EA,Not Specified,Ch Local Authority,01905 771595,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/35
309,Redwood House,Cherry Hill Road,Barnt Green,CH Town,B9 5EA,Not Specified,Ch Local Authority,0121 4477447,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/36
310,Rockny House,25 Birmingham Road,Not Specified,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01562 864067,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/37
311,Safeharbour (Worcestershire),52 Corbett Avenue,Not Specified,CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01905 796214,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/38
312,St Johns Nursing Home,St. Peters Walk,Not Specified,CH Town,B9 5EA,Nursing,Ch Local Authority,01905 794506,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/39
313,Stonebow House,Worcester Road,Peopleton,CH Town,B9 5EA,Not Specified,Ch Local Authority,01905 840245,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/40
314,Summerdyne Nursing Home,Cleobury Road,Not Specified,CH Town,B9 5EA,Nursing,Ch Local Authority,01299 403260,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/41
315,Three Roses Homes Ltd,Bromsgrove Road,"Holy Cross, Clent",CH Town,B9 5EA,Learning Disabilities,Ch Local Authority,01562 730730,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/42
316,Wayside Nursing Home,25 New Road,Not Specified,CH Town,B9 5EA,Nursing,Ch Local Authority,01527 837774,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/43
317,Wythall Residential Home,241 Station Road,Wythall,CH Town,B9 5EA,Not Specified,Ch Local Authority,01564 823478,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/44
318,The Haven Rest Home,218 Worcester Road,Not Specified,CH Town,B9 5EA,Dementia,Ch Local Authority,07908 578156,CH Email,https://www.wmca.care/hmfc/directory/carehomes/worcestershire/dp/45
